PLAYER,Team,Date,REB,AST,STL,BLK,TO,FO,PTS
Andrew Wiggins,GSW,4/16/23,3,1,0,4,0,3,17
Anthony Davis,LAL,4/16/23,12,3,3,7,3,1,22
Austin Reaves,LAL,4/16/23,3,4,1,1,0,1,23
Bam Adebayo,MIA,4/16/23,9,7,2,0,5,4,22
Caleb Martin,MIA,4/16/23,3,0,0,0,2,4,15
D'Angelo Russell,LAL,4/16/23,4,7,1,0,2,3,19
Dennis Schroder,LAL,4/16/23,1,4,0,0,2,3,7
Donte DiVincenzo,GSW,4/16/23,3,4,0,0,1,3,10
Draymond Green,GSW,4/16/23,9,11,2,1,3,3,4
Duncan Robinson,MIA,4/16/23,1,0,0,0,0,0,3
Gabe Vincent,MIA,4/16/23,2,6,0,0,2,4,15
Gary Payton II,GSW,4/16/23,4,2,2,0,2,3,8
Immanuel Quickley,NYK,4/16/23,3,2,0,0,3,0,3
Isaiah Hartenstein,NYK,4/16/23,5,0,0,0,0,3,8
Jalen Brunson,NYK,4/16/23,2,2,2,0,1,3,27
Jarred Vanderbilt,LAL,4/16/23,4,0,0,0,0,4,4
Jimmy Butler,MIA,4/16/23,5,11,3,0,3,4,35
Jonathan Kuminga,GSW,4/16/23,0,1,1,0,2,2,8
Jordan Poole,GSW,4/16/23,1,3,0,1,1,1,17
Josh Hart,NYK,4/16/23,10,2,1,0,2,4,17
Julius Randle,NYK,4/16/23,10,4,2,0,5,4,19
Kevin Love,MIA,4/16/23,8,1,0,0,0,2,18
Kevon Looney,GSW,4/16/23,9,2,1,1,0,5,8
Klay Thompson,GSW,4/16/23,6,5,1,0,1,2,21
Kyle Lowry,MIA,4/16/23,1,3,1,0,1,2,2
LeBron James,LAL,4/16/23,11,5,2,3,5,1,21
Lonnie Walker IV,LAL,4/16/23,0,0,0,0,0,0,0
Malik Beasley,LAL,4/16/23,1,0,0,0,1,2,0
Max Christie,LAL,4/16/23,0,0,0,0,0,0,0
Max Strus,MIA,4/16/23,5,2,0,0,1,3,8
Mitchell Robinson,NYK,4/16/23,8,0,2,0,0,2,6
Mo Bamba,LAL,4/16/23,0,0,0,0,0,0,0
Obi Toppin,NYK,4/16/23,4,1,0,0,1,0,9
Quentin Grimes,NYK,4/16/23,5,1,0,1,0,3,5
RJ Barrett,NYK,4/16/23,4,6,4,0,1,1,7
Rui Hachimura,LAL,4/16/23,6,1,0,0,1,2,29
Shaquille Harrison,LAL,4/16/23,0,0,0,0,0,0,0
Stephen Curry,GSW,4/16/23,6,2,0,0,5,3,30
Troy Brown Jr.,LAL,4/16/23,3,1,0,0,0,1,3
Tyler Herro,MIA,4/16/23,2,2,0,1,1,1,12
Wenyen Gabriel,LAL,4/16/23,0,0,0,0,0,0,0
