ID,First Name,Last Name,ID + Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,Starting
nba.p.4387$nba.g.13467906,Derrick,Rose,nba.p.4387$nba.g.13467906 - Derrick Rose,PG,NY,MIA,NY@MIA,3:30PM EDT,10,10.2, , 
nba.p.5054$nba.g.13467906,Evan,Fournier,nba.p.5054$nba.g.13467906 - Evan Fournier,SF,NY,MIA,NY@MIA,3:30PM EDT,10,11.6, , 
nba.p.5318$nba.g.13467906,Julius,Randle,nba.p.5318$nba.g.13467906 - Julius Randle,PF,NY,MIA,NY@MIA,3:30PM EDT,30,42.2, , 
nba.p.5843$nba.g.13467906,Josh,Hart,nba.p.5843$nba.g.13467906 - Josh Hart,SF,NY,MIA,NY@MIA,3:30PM EDT,20,27.7, , 
nba.p.5856$nba.g.13467906,Isaiah,Hartenstein,nba.p.5856$nba.g.13467906 - Isaiah Hartenstein,C,NY,MIA,NY@MIA,3:30PM EDT,10,18.1, , 
nba.p.6044$nba.g.13467906,Jalen,Brunson,nba.p.6044$nba.g.13467906 - Jalen Brunson,PG,NY,MIA,NY@MIA,3:30PM EDT,31,39, , 
nba.p.6047$nba.g.13467906,Mitchell,Robinson,nba.p.6047$nba.g.13467906 - Mitchell Robinson,C,NY,MIA,NY@MIA,3:30PM EDT,20,27.7, , 
nba.p.6165$nba.g.13467906,RJ,Barrett,nba.p.6165$nba.g.13467906 - RJ Barrett,SF,NY,MIA,NY@MIA,3:30PM EDT,21,29.7, , 
nba.p.6233$nba.g.13467906,Isaiah,Roby,nba.p.6233$nba.g.13467906 - Isaiah Roby,PF,NY,MIA,NY@MIA,3:30PM EDT,10,9.6, , 
nba.p.6276$nba.g.13467906,DaQuan,Jeffries,nba.p.6276$nba.g.13467906 - DaQuan Jeffries,SG,NY,MIA,NY@MIA,3:30PM EDT,10,0, , 
nba.p.6400$nba.g.13467906,Obi,Toppin,nba.p.6400$nba.g.13467906 - Obi Toppin,PF,NY,MIA,NY@MIA,3:30PM EDT,10,13.6, , 
nba.p.6417$nba.g.13467906,Immanuel,Quickley,nba.p.6417$nba.g.13467906 - Immanuel Quickley,SG,NY,MIA,NY@MIA,3:30PM EDT,13,26.2, , 
nba.p.6567$nba.g.13467906,Quentin,Grimes,nba.p.6567$nba.g.13467906 - Quentin Grimes,SG,NY,MIA,NY@MIA,3:30PM EDT,12,19.8, , 
nba.p.6578$nba.g.13467906,Miles,McBride,nba.p.6578$nba.g.13467906 - Miles McBride,PG,NY,MIA,NY@MIA,3:30PM EDT,10,7.4, , 
nba.p.6600$nba.g.13467906,Jericho,Sims,nba.p.6600$nba.g.13467906 - Jericho Sims,PF,NY,MIA,NY@MIA,3:30PM EDT,10,11.7,INJ, 
nba.p.6607$nba.g.13467906,Duane,Washington Jr.,nba.p.6607$nba.g.13467906 - Duane Washington Jr.,SG,NY,MIA,NY@MIA,3:30PM EDT,10,12.2, , 
nba.p.6732$nba.g.13467906,Trevor,Keels,nba.p.6732$nba.g.13467906 - Trevor Keels,SF,NY,MIA,NY@MIA,3:30PM EDT,10,1.8, , 
nba.p.3765$nba.g.13467906,Udonis,Haslem,nba.p.3765$nba.g.13467906 - Udonis Haslem,PF,MIA,NY,NY@MIA,3:30PM EDT,10,6.2, , 
nba.p.4152$nba.g.13467906,Kyle,Lowry,nba.p.4152$nba.g.13467906 - Kyle Lowry,PG,MIA,NY,NY@MIA,3:30PM EDT,13,25.8, , 
nba.p.4391$nba.g.13467906,Kevin,Love,nba.p.4391$nba.g.13467906 - Kevin Love,PF,MIA,NY,NY@MIA,3:30PM EDT,11,19.1, , 
nba.p.4912$nba.g.13467906,Jimmy,Butler,nba.p.4912$nba.g.13467906 - Jimmy Butler,PF,MIA,NY,NY@MIA,3:30PM EDT,44,43.9,GTD, 
nba.p.5153$nba.g.13467906,Victor,Oladipo,nba.p.5153$nba.g.13467906 - Victor Oladipo,SG,MIA,NY,NY@MIA,3:30PM EDT,10,21.9,INJ, 
nba.p.5155$nba.g.13467906,Cody,Zeller,nba.p.5155$nba.g.13467906 - Cody Zeller,C,MIA,NY,NY@MIA,3:30PM EDT,10,10.9, , 
nba.p.5827$nba.g.13467906,Bam,Adebayo,nba.p.5827$nba.g.13467906 - Bam Adebayo,C,MIA,NY,NY@MIA,3:30PM EDT,28,39.4, , 
nba.p.6073$nba.g.13467906,Duncan,Robinson,nba.p.6073$nba.g.13467906 - Duncan Robinson,PF,MIA,NY,NY@MIA,3:30PM EDT,10,10.6, , 
nba.p.6155$nba.g.13467906,Haywood,Highsmith,nba.p.6155$nba.g.13467906 - Haywood Highsmith,PF,MIA,NY,NY@MIA,3:30PM EDT,10,11.5,GTD, 
